pdp_url,product_name,regular_price,brand,net_quantity,country_of_origin,description,care_instructions,material_composition,clothing_fit,images,color,breadcrumb,sku,size
https://www.westside.com/products/nuon-black-straight-fit-high-rise-jeans-300990238?variant=43900098379829,Nuon Black Straight-Fit High-Rise Jeans,999.0,Nuon,1N,Bangladesh,,Machine Wash,"98% Cotton, 2% Elastane",Straight Fit,"['https://www.westside.com/cdn/shop/files/300990238BLACK_5.jpg', 'https://www.westside.com/cdn/shop/files/300990238BLACK_1.jpg', 'https://www.westside.com/cdn/shop/files/300990238BLACK_3.jpg', 'https://www.westside.com/cdn/shop/files/300990238BLACK_2.jpg', 'https://www.westside.com/cdn/shop/files/300990238BLACK_4.jpg', 'https://www.westside.com/cdn/shop/files/300990238BLACK_6.jpg']",[],Home > Nuon Black Straight-Fit High-Rise Jeans,300990238001,"['26', '28', '30', '32', '34']"
https://www.westside.com/products/luna-blu-ivory-double-band-slip-on-sandals-301003205?variant=44233165176885,LUNA BLU Ivory Double Band Slip-On Sandals,499.0,LUNA BLU,2N (1 Pair),India,,Dry Clean,,,"['https://www.westside.com/cdn/shop/files/301003205IVORY_3.jpg', 'https://www.westside.com/cdn/shop/files/301003205IVORY_1.jpg', 'https://www.westside.com/cdn/shop/files/301003205IVORY_2.jpg']",[],Home > LUNA BLU Ivory Double Band Slip-On Sandals,301003205001,"['EURO-36', 'EURO-37', 'EURO-38', 'EURO-39', 'EURO-40', 'EURO-41']"
https://www.westside.com/products/luna-blu-taupe-double-band-flip-flop-300977985?variant=43053531398197,LUNA BLU Taupe Double Band Flip-Flop,399.0,LUNA BLU,2N (1 Pair),India,,Dry Clean,,,"['https://www.westside.com/cdn/shop/files/300977985MUSHROOM_2.jpg', 'https://www.westside.com/cdn/shop/files/300977985MUSHROOM_3.jpg', 'https://www.westside.com/cdn/shop/files/300977985MUSHROOM_1.jpg']",[],Home > LUNA BLU Taupe Double Band Flip-Flop,300977985002,"['EURO-36', 'EURO-37', 'EURO-38', 'EURO-39', 'EURO-40', 'EURO-41']"
https://www.westside.com/products/studiowest-vanilla-and-black-currant-eau-de-parfum-30ml-300959602001?variant=42872289984565,Studiowest Vanilla and Black Currant Eau De Parfum - 30 ML,395.0,Studiowest,1N,India,,,,,"['https://www.westside.com/cdn/shop/files/300959602001_1.jpg', 'https://www.westside.com/cdn/shop/files/300959602001.jpg', 'https://www.westside.com/cdn/shop/files/300959602001_3.jpg', 'https://www.westside.com/cdn/shop/files/300959602001_2.jpg']",['Rose and Apricot '],Home > Studiowest Vanilla and Black Currant Eau De Parfum - 30 ML,300959602001,[]
https://www.westside.com/products/luna-blu-dusty-pink-double-band-slip-on-sandals-301003204?variant=44284456730677,LUNA BLU Dusty Pink Double Band Slip-On Sandals,399.0,LUNA BLU,2N (1 Pair),India,,Dry Clean,,,"['https://www.westside.com/cdn/shop/files/301003204DUSTYPINK_2.jpg', 'https://www.westside.com/cdn/shop/files/301003204DUSTYPINK_3.jpg', 'https://www.westside.com/cdn/shop/files/301003204DUSTYPINK_1.jpg']",[],Home > LUNA BLU Dusty Pink Double Band Slip-On Sandals,301003204001,"['EURO-36', 'EURO-37', 'EURO-38', 'EURO-39', 'EURO-40', 'EURO-41']"
https://www.westside.com/products/nuon-blue-straight-fit-high-rise-jeans-300990374?variant=43963029127221,Nuon Blue Straight-Fit High-Rise Jeans,999.0,Nuon,1N,Bangladesh,,Machine Wash,"97% Cotton, 3% Elastane",Straight Fit,"['https://www.westside.com/cdn/shop/files/300990374MIDBLUE_2.jpg', 'https://www.westside.com/cdn/shop/files/300990374MIDBLUE_1.jpg', 'https://www.westside.com/cdn/shop/files/300990374MIDBLUE_4.jpg', 'https://www.westside.com/cdn/shop/files/300990374MIDBLUE_3.jpg']",[],Home > Nuon Blue Straight-Fit High-Rise Jeans,300990374001,"['26', '28', '30', '32', '34']"
https://www.westside.com/products/superstar-mauve-textured-padded-bra-300993586?variant=44110134837301,Superstar Mauve Textured Padded Bra,799.0,Superstar,1N,Hong Kong,,Machine Wash,"92% Polyamide, 8% Elastane",The model is 5ft 7 inches and is wearing size M,"['https://www.westside.com/cdn/shop/files/300993586NEUTRAL_1.jpg', 'https://www.westside.com/cdn/shop/files/300993586NEUTRAL_2.jpg', 'https://www.westside.com/cdn/shop/files/300993586NEUTRAL_4.jpg', 'https://www.westside.com/cdn/shop/files/300993586NEUTRAL_3.jpg']",[],Home > Superstar Mauve Textured Padded Bra,300993586001,"['S', 'M', 'L', 'XL']"
https://www.westside.com/products/luna-blu-ivory-criss-cross-design-slides-301004121?variant=44281016680501,LUNA BLU Ivory Criss-Cross Design Slides,999.0,LUNA BLU,2N (1 Pair),India,,Dry Clean,,,"['https://www.westside.com/cdn/shop/files/301004121IVORY_1.jpg', 'https://www.westside.com/cdn/shop/files/301004121IVORY_2.jpg', 'https://www.westside.com/cdn/shop/files/301004121IVORY_3.jpg']","['Brown', 'Ivory']",Home > LUNA BLU Ivory Criss-Cross Design Slides,301004121007,"['EURO-36', 'EURO-37', 'EURO-38', 'EURO-39', 'EURO-40', 'EURO-41']"
https://www.westside.com/products/luna-blu-taupe-braid-pattern-flip-flop-300994463?variant=44079664070709,LUNA BLU Taupe Braid Pattern Flip-Flop,499.0,LUNA BLU,2N (1 Pair),India,,Dry Clean,,,"['https://www.westside.com/cdn/shop/files/300994463TAUPE_1.jpg', 'https://www.westside.com/cdn/shop/files/300994463TAUPE_3.jpg', 'https://www.westside.com/cdn/shop/files/300994463TAUPE_2.jpg']",['Taupe'],Home > LUNA BLU Taupe Braid Pattern Flip-Flop,300994463001,"['EURO-36', 'EURO-37', 'EURO-38', 'EURO-39', 'EURO-40', 'EURO-41']"
https://www.westside.com/products/wardrobe-brown-solid-shirt-301019908?variant=44494936899637,Wardrobe Brown Solid Shirt,699.0,Wardrobe,1N,India,,Machine Wash,"53% Polyester, 47% Cotton",Regular Fit,"['https://www.westside.com/cdn/shop/files/301019908MOUSE_2.jpg', 'https://www.westside.com/cdn/shop/files/301019908MOUSE_4.jpg', 'https://www.westside.com/cdn/shop/files/301019908MOUSE_3.jpg', 'https://www.westside.com/cdn/shop/files/301019908MOUSE_1.jpg']",[],Home > Wardrobe Brown Solid Shirt,301019908001,"['XS', 'S', 'M', 'L', 'XL']"
