pdp_url,product_name,regular_price,price_was,percentage_discount,product_description,breadcrumb,rating,review,image,alchole_percentage,ingredient,allergens,alchol_by_volume,instock,nutritions
https://www.gall.nl/mucho-mas-tinto-rood-75cl-117196.html,Mucho Más Tinto,22.99,7.69,25%,"Kort op hout gerijpte blend van garnacha en tempranillo afkomstig uit Toro, La Mancha en Valdepeñas. Met zwarte kersen, bramen, specerijen, zijdezachte tannines en een lange afdronk.",Home > Wijn > Rode wijn > Soepele rode wijn,4.6,200,https://static.gall.nl/images/IMG_1804267_500.png,"13,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/arrogant-frog-toasty-and-buttery-chardonnay-wit-75cl-448532.html,Arrogant Frog Toasty and Buttery Chardonnay,8.65,9.99,25%,"De naam Toasty and Buttery is een verwijzing naar de aroma’s van vers geroosterd brood en roomboter, die je kan proeven in deze houtgerijpte chardonnay uit de Languedoc. Deze bijzondere Arrogant Frog cuvée van Jean-Claude Mas serveer je bij gerookte zalm, gegrilde kip of zachte kazen. ",Home > Wijn > Witte wijn > Volle witte wijn,4.3,19,https://static.gall.nl/images/IMG_1809813_500.png,14%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/la-palma-chardonnay-wit-75cl-388017.html,La Palma Chardonnay,6.65,,25%,"In deze 100% chardonnay proef je de smaak van tropisch fruit. Alle wijnen van Viña la Rosa worden duurzaam geproduceerd met respect voor werknemers, leveranciers en nabijgelegen gemeenschap. ",Home > Wijn > Witte wijn > Volle witte wijn,4.4,200,https://static.gall.nl/images/IMG_2278270_500.png,12%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/cocktailpakket-sangria-75cl-70cl-50cl-444952.html,Cocktailpakket Sangria,5.99,31.97,10%,Breng de mediterrane sfeer naar huis met ons Sangria cocktailpakket! Sangria is de ideale wijncocktail voor op een zonovergoten terras!,Home > Mixen > Kant en klaar,,,https://static.gall.nl/images/IMG_1864773_500.png,"23,17%",,,75CL 70CL 50CL,True,
https://www.gall.nl/mucho-mas-rosado-rose-75cl-410861.html,Mucho Más Rosado,6.65,7.69,25%,"Ontdek in deze Spaanse rosé aroma’s van rood fruit en een intense friszoete smaak. Een populaire rose en heerlijke wijn bij tapas, paté en plateau charcuterie.",Home > Wijn > Rosé wijn,4.5,95,https://static.gall.nl/images/IMG_1804224_500.png,13%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/ondarre-rioja-gran-reserva-rood-75cl-156442.html,Ondarre Rioja Gran Reserva,13.29,,,"De Gran Reserva is de ‘opa’ onder de Spaanse wijnen. Hij is op leeftijd, heeft zeer lang gerijpt en heeft in je glas een heel verhaal te vertellen. Heerlijk bij lamstajine.",Home > Wijn > Rode wijn > Stevige rode wijn,4.3,103,https://static.gall.nl/images/IMG_682198_500.png,"13,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/torres-celeste-verdejo-wit-75cl-402362.html,Torres Celeste Verdejo,9.99,,,"Pago del Cielo is de naam van het wijndomein in Rueda dat in handen is van de beroemde Spaanse wijnfamilie Torres. Deze verdejo is fruitig, aromatisch en toegankelijk met appel, venkel en mango.",Home > Wijn > Witte wijn > Fruitige witte wijn,4.4,39,https://static.gall.nl/images/IMG_682077_500.png,13%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/mirabeau-classic-rose-rose-75cl-408417.html,Mirabeau Classic Rosé,11.99,12.49,24%,"Klassieke blend van de lokale druiven uit de Provence: syrah, grenache en cinsault. In deze elegante rosé ruik je aardbeien, rode kersen en frambozen.",Home > Wijn > Rosé wijn,4.4,81,https://static.gall.nl/images/IMG_681272_500.png,13%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/mucho-mas-blanco-wit-75cl-139939.html,Mucho Más Blanco,8.99,7.69,25%,"Het Spaanse Castilla-La Mancha is het grootste wijngebied ter wereld. Van verdejo, sauvignon blanc en chardonnay maakt men ter plaatse deze veelzijdige witte wijn. Ideaal voor bij tapas.",Home > Wijn > Witte wijn,4.6,200,https://static.gall.nl/images/IMG_1896436_500.png,"12,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/whales-tale-sauvignon-blanc-wit-75cl-385158.html,Whale's Tale Sauvignon Blanc,10.65,,,Knisperfrisse sauvignon blanc uit het Nieuw-Zeelandse Marlborough. Zijn naam is een verwijzing naar de walvissen die voor de kust van het Zuidereiland zwemmen.,Home > Wijn > Witte wijn > Frisse witte wijn,4.6,199,https://static.gall.nl/images/IMG_842185_500.png,"12,5%",,,75CL,True,
https://www.gall.nl/arrogant-frog-rose-rose-75cl-129453.html,Arrogant Frog Rosé,9.99,7.99,13%,"Zuid-Franse rosé gemaakt door een van de beste producenten van de Languedoc: Jean-Claude Mas. Zeer fruitig met de smaak van aardbei, framboos en aalbes. Serveer hem op een zonnige dag bij salades.",Home > Wijn > Rosé wijn,4.6,199,https://static.gall.nl/images/IMG_2029705_500.png,"12,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/valdivieso-sauvignon-blanc-wit-75cl-387630.html,Valdivieso Sauvignon Blanc,6.65,,,"Chileense sauvignon blanc met een Nieuw-Zeelandse touch. De wijnmaker van Valdivieso, Brett David Jackson, is namelijk een ‘Kiwi’. Verfrissend: crisp & clean.",Home > Wijn > Witte wijn > Frisse witte wijn,4.4,199,https://static.gall.nl/images/IMG_680291_500.png,12%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/arrogant-frog-chardonnay-viognier-wit-75cl-196673.html,Arrogant Frog Chardonnay Viognier,7.99,,,"In no time heeft Jean-Claude Mas van Arrogant Frog de mascotte van zijn bedrijf gemaakt. Een humoristische naam, maar serieuze wijn die je gerust aan tafel kan serveren. Deze blend is vol en bloemig.",Home > Wijn > Witte wijn > Volle witte wijn,4.5,200,https://static.gall.nl/images/IMG_2122807_500.png,"13,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/pierre-de-prunet-rose-rose-75cl-129429.html,Pierre de Prunet Rosé,6.65,,,"Deze lichte rosé van Pierre de Prunet komt uit de Languedoc en wordt gemaakt van de druiven grenache, syrah, cinsault en carignan. Hij is kruidig en verkwikkend met perzik en licht rood zomerfruit.",Home > Wijn > Rosé wijn,4.5,199,https://static.gall.nl/images/IMG_681097_500.png,"12,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
